%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           0.        0.1000       0.07080       189.112        2.7182        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000908      0.172338     0.0000205 
           0.        0.1010       0.07129       189.123        2.7196        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000911      0.168412     0.0000206 
           0.        0.1020       0.07179       189.167        2.7257        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000914      0.165687     0.0000206 
           0.        0.1030       0.07228       189.210        2.7314        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000917      0.162982     0.0000207 
           0.        0.1040       0.07277       189.254        2.7373        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000920      0.160301     0.0000208 
           0.        0.1050       0.07325       189.297        2.7427        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000922      0.157639     0.0000208 
           0.        0.1060       0.07373       189.340        2.7486        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000924      0.154997     0.0000209 
           0.        0.1070       0.07420       189.382        2.7542        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000925      0.152377     0.0000210 
           0.        0.1080       0.07467       189.425        2.7594        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000927      0.149776     0.0000210 
           0.        0.1090       0.07513       189.467        2.7647        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000928      0.147194     0.0000211 
           0.        0.1100       0.07559       189.509        2.7701        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000929      0.144635     0.0000211 
           1.        0.1110       0.07604       189.551        2.7752        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000929      0.142094     0.0000212 
           1.        0.1120       0.07649       189.593        2.7803        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000929      0.139571     0.0000212 
           1.        0.1130       0.07694       189.634        2.7853        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000929      0.137071     0.0000213 
           1.        0.1140       0.07737       189.675        2.7901        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000928      0.134589     0.0000213 
           1.        0.1150       0.07781       189.716        2.7948        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000927      0.132125     0.0000214 
           1.        0.1160       0.07823       189.757        2.7997        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000926      0.129685     0.0000214 
           1.        0.1170       0.07866       189.798        2.8044        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000925      0.127262     0.0000215 
           1.        0.1180       0.07907       189.838        2.8087        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000923      0.124859     0.0000215 
           1.        0.1190       0.07949       189.878        2.8132        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000921      0.122477     0.0000215 
