%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           0.        0.1000       0.07570       189.133        2.7208        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001301      0.247387     0.0000000 
           0.        0.1010       0.07625       189.143        2.7224        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001308      0.242015     0.0000000 
           0.        0.1020       0.07680       189.187        2.7284        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001316      0.238657     0.0000000 
           0.        0.1030       0.07735       189.230        2.7341        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001323      0.235332     0.0000000 
           0.        0.1040       0.07789       189.274        2.7397        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001330      0.232046     0.0000000 
           0.        0.1050       0.07842       189.317        2.7454        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001337      0.228790     0.0000000 
           0.        0.1060       0.07896       189.359        2.7510        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001344      0.225566     0.0000000 
           0.        0.1070       0.07949       189.402        2.7565        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001350      0.222376     0.0000000 
           0.        0.1080       0.08002       189.444        2.7616        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001356      0.219215     0.0000000 
           0.        0.1090       0.08054       189.486        2.7669        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001361      0.216081     0.0000000 
           0.        0.1100       0.08106       189.528        2.7722        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001366      0.212980     0.0000000 
           1.        0.1110       0.08157       189.570        2.7773        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001371      0.209905     0.0000000 
           1.        0.1120       0.08208       189.611        2.7823        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001376      0.206855     0.0000000 
           1.        0.1130       0.08259       189.653        2.7873        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001380      0.203835     0.0000000 
           1.        0.1140       0.08309       189.694        2.7921        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001384      0.200839     0.0000000 
           1.        0.1150       0.08359       189.734        2.7968        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001388      0.197866     0.0000000 
           1.        0.1160       0.08408       189.775        2.8015        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001391      0.194922     0.0000000 
           1.        0.1170       0.08457       189.815        2.8062        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001394      0.192000     0.0000000 
           1.        0.1180       0.08506       189.856        2.8105        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001397      0.189100     0.0000000 
           1.        0.1190       0.08554       189.896        2.8151        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001399      0.186225     0.0000000 
           1.        0.1200       0.08601       189.936        2.8196        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001401      0.183372     0.0000000 
           1.        0.1210       0.08649       189.976        2.8249        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001402      0.180541     0.0000000 
           1.        0.1220       0.08695       190.016        2.8302        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001404      0.177733     0.0000000 
           1.        0.1230       0.08742       190.056        2.8353        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001404      0.174946     0.0000000 
           1.        0.1240       0.08788       190.096        2.8403        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001405      0.172179     0.0000000 
           1.        0.1250       0.08833       190.135        2.8453        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001405      0.169435     0.0000000 
           1.        0.1260       0.08878       190.175        2.8503        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001405      0.166711     0.0000000 
           1.        0.1270       0.08922       190.214        2.8550        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001404      0.164006     0.0000000 
           1.        0.1280       0.08966       190.253        2.8601        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001403      0.161324     0.0000000 
           1.        0.1290       0.09010       190.292        2.8651        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001401      0.158661     0.0000000 
           2.        0.1300       0.09053       190.330        2.8697        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001399      0.156016     0.0000000 
           2.        0.1310       0.09095       190.369        2.8741        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001397      0.153394     0.0000000 
           2.        0.1320       0.09137       190.408        2.8790        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001395      0.150791     0.0000000 
           2.        0.1330       0.09179       190.446        2.8836        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001392      0.148206     0.0000000 
           2.        0.1340       0.09219       190.484        2.8883        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001388      0.145644     0.0000000 
           2.        0.1350       0.09260       190.522        2.8928        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001384      0.143100     0.0000000 
           2.        0.1360       0.09300       190.560        2.8973        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001380      0.140574     0.0000000 
           2.        0.1370       0.09339       190.598        2.9019        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001376      0.138071     0.0000000 
           2.        0.1380       0.09378       190.635        2.9066        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001371      0.135586     0.0000000 
           2.        0.1390       0.09417       190.673        2.9113        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001366      0.133119     0.0000000 
           2.        0.1400       0.09454       190.710        2.9160        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001360      0.130676     0.0000000 
           2.        0.1410       0.09492       190.748        2.9208        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001354      0.128251     0.0000000 
           2.        0.1420       0.09528       190.785        2.9253        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001347      0.125844     0.0000000 
           2.        0.1430       0.09565       190.822        2.9298        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001341      0.123461     0.0000000 
           2.        0.1440       0.09600       190.859        2.9345        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001333      0.121096     0.0000000 
           2.        0.1450       0.09635       190.896        2.9388        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001326      0.118751     0.0000000 
           2.        0.1460       0.09670       190.932        2.9436        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001318      0.116429     0.0000000 
           2.        0.1470       0.09704       190.969        2.9482        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001310      0.114126     0.0000000 
           2.        0.1480       0.09737       191.006        2.9527        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001301      0.111843     0.0000000 
           2.        0.1490       0.09770       191.042        2.9568        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001292      0.109584     0.0000000 
           2.        0.1500       0.09803       191.078        2.9614        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001283      0.107344     0.0000000 
           3.        0.1510       0.09834       191.114        2.9662        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001273      0.105125     0.0000000 
           3.        0.1520       0.09866       191.150        2.9705        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001263      0.102931     0.0000000 
           3.        0.1530       0.09896       191.186        2.9747        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001253      0.100757     0.0000000 
           3.        0.1540       0.09926       191.222        2.9794        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001242      0.098604     0.0000000 
           3.        0.1550       0.09956       191.257        2.9834        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001231      0.096476     0.0000000 
           3.        0.1560       0.09985       191.293        2.9877        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001220      0.094370     0.0000000 
           3.        0.1570       0.10013       191.328        2.9919        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001208      0.092284     0.0000000 
           3.        0.1580       0.10041       191.364        2.9965        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001196      0.090225     0.0000000 
           3.        0.1590       0.10068       191.399        3.0005        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001184      0.088188     0.0000000 
           3.        0.1600       0.10095       191.434        3.0051        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001172      0.086173     0.0000000 
           3.        0.1610       0.10121       191.469        3.0090        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001159      0.084184     0.0000000 
           3.        0.1620       0.10146       191.504        3.0131        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001146      0.082219     0.0000000 
           3.        0.1630       0.10171       191.539        3.0173        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001133      0.080275     0.0000000 
           3.        0.1640       0.10196       191.573        3.0217        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001120      0.078360     0.0000000 
           3.        0.1650       0.10219       191.608        3.0259        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001106      0.076467     0.0000000 
           3.        0.1660       0.10243       191.642        3.0300        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001092      0.074598     0.0000000 
           3.        0.1670       0.10265       191.677        3.0341        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001078      0.072758     0.0000000 
           3.        0.1680       0.10287       191.711        3.0380        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001064      0.070940     0.0000000 
           3.        0.1690       0.10309       191.745        3.0422        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001049      0.069147     0.0000000 
           4.        0.1700       0.10330       191.779        3.0463        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001035      0.067383     0.0000000 
           4.        0.1710       0.10350       191.813        3.0502        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001020      0.065643     0.0000000 
           4.        0.1720       0.10370       191.847        3.0542        2.5067        2.5067        2.5067      0.000000      0.000000     0.0001005      0.063927     0.0000000 
           4.        0.1730       0.10389       191.880        3.0581        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000990      0.062241     0.0000000 
           4.        0.1740       0.10408       191.914        3.0624        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000975      0.060580     0.0000000 
           4.        0.1750       0.10426       191.948        3.0664        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000959      0.058943     0.0000000 
           4.        0.1760       0.10443       191.981        3.0702        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000944      0.057337     0.0000000 
           4.        0.1770       0.10460       192.014        3.0743        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000928      0.055755     0.0000000 
           4.        0.1780       0.10477       192.048        3.0782        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000912      0.054198     0.0000000 
           4.        0.1790       0.10493       192.081        3.0822        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000897      0.052672     0.0000000 
           4.        0.1800       0.10508       192.114        3.0860        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000881      0.051171     0.0000000 
           4.        0.1810       0.10523       192.147        3.0896        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000865      0.049695     0.0000000 
           4.        0.1820       0.10537       192.180        3.0938        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000849      0.048250     0.0000000 
           4.        0.1830       0.10551       192.213        3.0975        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000833      0.046830     0.0000000 
           4.        0.1840       0.10565       192.245        3.1015        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000817      0.045435     0.0000000 
           4.        0.1850       0.10577       192.278        3.1053        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000801      0.044071     0.0000000 
           4.        0.1860       0.10590       192.310        3.1091        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000786      0.042732     0.0000000 
           4.        0.1870       0.10602       192.343        3.1128        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000770      0.041419     0.0000000 
           4.        0.1880       0.10613       192.375        3.1166        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000754      0.040135     0.0000000 
           4.        0.1890       0.10624       192.407        3.1202        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000738      0.038877     0.0000000 
           4.        0.1900       0.10634       192.440        3.1242        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000722      0.037645     0.0000000 
           5.        0.1910       0.10644       192.472        3.1279        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000706      0.036442     0.0000000 
           5.        0.1920       0.10653       192.504        3.1316        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000691      0.035264     0.0000000 
           5.        0.1930       0.10662       192.536        3.1351        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000675      0.034111     0.0000000 
           5.        0.1940       0.10671       192.567        3.1389        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000660      0.032987     0.0000000 
           5.        0.1950       0.10679       192.599        3.1426        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000644      0.031888     0.0000000 
           5.        0.1960       0.10686       192.631        3.1465        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000629      0.030814     0.0000000 
           5.        0.1970       0.10693       192.662        3.1502        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000614      0.029768     0.0000000 
           5.        0.1980       0.10700       192.694        3.1534        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000599      0.028746     0.0000000 
           5.        0.1990       0.10706       192.725        3.1571        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000584      0.027749     0.0000000 
           5.        0.2000       0.10712       192.757        3.1609        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000569      0.026779     0.0000000 
           5.        0.2010       0.10717       192.788        3.1643        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000555      0.025833     0.0000000 
           5.        0.2020       0.10722       192.819        3.1679        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000540      0.024910     0.0000000 
           5.        0.2030       0.10727       192.850        3.1715        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000526      0.024014     0.0000000 
           5.        0.2040       0.10731       192.881        3.1749        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000512      0.023141     0.0000000 
           5.        0.2050       0.10735       192.912        3.1787        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000498      0.022290     0.0000000 
           5.        0.2060       0.10739       192.943        3.1824        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000484      0.021466     0.0000000 
           5.        0.2070       0.10742       192.973        3.1858        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000471      0.020663     0.0000000 
           5.        0.2080       0.10745       193.004        3.1893        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000457      0.019882     0.0000000 
           5.        0.2090       0.10747       193.035        3.1928        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000444      0.019126     0.0000000 
           6.        0.2100       0.10749       193.065        3.1961        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000431      0.018390     0.0000000 
           6.        0.2110       0.10751       193.096        3.1996        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000418      0.017675     0.0000000 
           6.        0.2120       0.10752       193.126        3.2032        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000406      0.016983     0.0000000 
           6.        0.2130       0.10753       193.156        3.2067        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000393      0.016312     0.0000000 
           6.        0.2140       0.10754       193.186        3.2100        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000381      0.015660     0.0000000 
           6.        0.2150       0.10754       193.217        3.2133        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000369      0.015030     0.0000000 
           6.        0.2160       0.10755       193.247        3.2167        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000358      0.014420     0.0000000 
           6.        0.2170       0.10755       193.277        3.2204        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000346      0.013827     0.0000000 
           6.        0.2180       0.10754       193.307        3.2235        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000335      0.013257     0.0000000 
           6.        0.2190       0.10754       193.336        3.2269        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000324      0.012704     0.0000000 
           6.        0.2200       0.10753       193.366        3.2304        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000313      0.012168     0.0000000 
           6.        0.2210       0.10751       193.396        3.2338        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000302      0.011653     0.0000000 
           6.        0.2220       0.10750       193.425        3.2370        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000292      0.011154     0.0000000 
           6.        0.2230       0.10748       193.455        3.2404        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000282      0.010671     0.0000000 
           6.        0.2240       0.10746       193.484        3.2436        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000272      0.010208     0.0000000 
           6.        0.2250       0.10744       193.514        3.2469        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000263      0.009760     0.0000000 
           6.        0.2260       0.10742       193.543        3.2504        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000253      0.009327     0.0000000 
           6.        0.2270       0.10739       193.572        3.2539        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000244      0.008912     0.0000000 
           6.        0.2280       0.10737       193.602        3.2569        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000235      0.008512     0.0000000 
           6.        0.2290       0.10734       193.631        3.2602        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000226      0.008125     0.0000000 
           6.        0.2300       0.10730       193.660        3.2638        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000218      0.007755     0.0000000 
           7.        0.2310       0.10727       193.689        3.2668        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000210      0.007398     0.0000000 
           7.        0.2320       0.10724       193.718        3.2698        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000202      0.007054     0.0000000 
           7.        0.2330       0.10720       193.746        3.2734        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000194      0.006725     0.0000000 
           7.        0.2340       0.10716       193.775        3.2764        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000186      0.006409     0.0000000 
           7.        0.2350       0.10712       193.804        3.2796        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000179      0.006104     0.0000000 
           7.        0.2360       0.10708       193.832        3.2824        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000172      0.005813     0.0000000 
           7.        0.2370       0.10704       193.861        3.2858        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000165      0.005533     0.0000000 
           7.        0.2380       0.10699       193.890        3.2890        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000158      0.005265     0.0000000 
           7.        0.2390       0.10695       193.918        3.2922        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000152      0.005008     0.0000000 
           7.        0.2400       0.10690       193.946        3.2955        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000146      0.004762     0.0000000 
           7.        0.2410       0.10685       193.975        3.2986        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000140      0.004526     0.0000000 
           7.        0.2420       0.10680       194.003        3.3017        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000134      0.004301     0.0000000 
           7.        0.2430       0.10675       194.031        3.3048        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000128      0.004085     0.0000000 
           7.        0.2440       0.10670       194.059        3.3080        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000123      0.003878     0.0000000 
           7.        0.2450       0.10665       194.087        3.3110        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000117      0.003681     0.0000000 
           7.        0.2460       0.10659       194.115        3.3142        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000112      0.003492     0.0000000 
           7.        0.2470       0.10654       194.143        3.3173        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000107      0.003312     0.0000000 
           7.        0.2480       0.10648       194.171        3.3204        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000103      0.003140     0.0000000 
           7.        0.2490       0.10643       194.199        3.3237        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000098      0.002976     0.0000000 
           8.        0.2500       0.10637       194.226        3.3267        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000094      0.002819     0.0000000 
           8.        0.2510       0.10631       194.254        3.3296        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000089      0.002671     0.0000000 
           8.        0.2520       0.10625       194.282        3.3326        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000085      0.002528     0.0000000 
           8.        0.2530       0.10619       194.309        3.3355        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000081      0.002393     0.0000000 
           8.        0.2540       0.10613       194.337        3.3387        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000078      0.002264     0.0000000 
           8.        0.2550       0.10607       194.364        3.3415        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000074      0.002141     0.0000000 
           8.        0.2560       0.10601       194.392        3.3446        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000070      0.002024     0.0000000 
           8.        0.2570       0.10595       194.419        3.3477        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000067      0.001913     0.0000000 
           8.        0.2580       0.10589       194.446        3.3506        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000064      0.001808     0.0000000 
           8.        0.2590       0.10583       194.473        3.3537        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000061      0.001707     0.0000000 
