%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           0.        0.1000       0.84311       182.727        2.3208        9.2260        8.9521       10.6775      0.000000      0.000000     0.0165237      1.000000     0.0000000 
           3.        0.3000       0.45000       182.127        3.2750        9.1672        8.8815       10.6775      0.000000      0.000000     0.0169745      1.000000     0.0000000 
           7.        0.5000       0.73727       181.925        4.2144        9.1275        8.8337       10.6775      0.000000      0.000000     0.0197007      1.000000     0.0000000 
          10.        0.7000       1.02201       181.674        4.9507        9.0921        8.7916       10.5923      0.000000      0.000000     0.0230063      1.000000     0.0000000 
          13.        0.9000       1.31375       181.468        5.6587        9.0570        8.7499       10.5923      0.000000      0.000000     0.0269251      1.000000     0.0000000 
          17.        1.1000       1.50476       181.535        6.2160        9.0337        8.7222       10.5923      0.000000      0.000000     0.0313859      1.000000     0.0000000 
          20.        1.3000       1.61972       181.671        6.7362        9.0109        8.6949       10.5923      0.000000      0.000000     0.0364584      1.000000     0.0000000 
          23.        1.5000       1.74308       181.804        7.2461        8.9849        8.6633       10.5923      0.000000      0.000000     0.0423477      1.000000     0.0000000 
          27.        1.7000       1.87215       181.932        7.7203        8.9574        8.6296       10.5923      0.000000      0.000000     0.0490041      1.000000     0.0000000 
          30.        1.9000       2.00710       182.063        8.1641        8.9286        8.5939       10.5923      0.000000      0.000000     0.0565079      1.000000     0.0000000 
          33.        2.1000       2.15079       182.242        8.5922        8.8986        8.5559       10.5923      0.000000      0.000000     0.0653593      0.969035     0.0000000 
          37.        2.3000       2.28889       182.517        8.9676        8.8738        8.5234       10.5923      0.000000      0.000000     0.0646685      0.862805     0.0000000 
          40.        2.5000       2.41515       182.836        9.3112        8.8524        8.4945       10.5078      0.000000      0.000000     0.0674231      0.762028     0.0000000 
          43.        2.7000       2.53598       183.154        9.6481        8.8308        8.4655       10.5078      0.000000      0.000000     0.0698986      0.677082     0.0000000 
