%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb       
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]      
%
           0.        0.3967       8.30227       181.733        4.0705        8.5415        8.0624       10.4241      0.000000      0.000000     0.0000000      1.000000 
           3.        0.4068       8.25196       181.739        4.0842        8.5405        8.0606       10.4241      0.000000      0.000000     0.0000000      1.000000 
           7.        0.4171       8.20180       181.761        4.1339        8.5394        8.0584       10.4241      0.000000      0.000000     0.0000000      1.000000 
          10.        0.4278       8.15159       181.784        4.1848        8.5382        8.0563       10.4241      0.000000      0.000000     0.0000000      1.000000 
          13.        0.4389       8.10135       181.807        4.2367        8.5369        8.0540       10.4241      0.000000      0.000000     0.0000000      1.000000 
          17.        0.4504       8.05110       181.831        4.2896        8.5356        8.0517       10.4241      0.000000      0.000000     0.0000000      1.000000 
          20.        0.4622       8.00083       181.855        4.3437        8.5343        8.0493       10.4241      0.000000      0.000000     0.0000000      1.000000 
          23.        0.4745       7.95059       181.880        4.3989        8.5329        8.0468       10.4241      0.000000      0.000000     0.0000000      1.000000 
          27.        0.4871       7.90036       181.905        4.4555        8.5315        8.0442       10.4241      0.000000      0.000000     0.0000000      1.000000 
          30.        0.5002       7.85015       181.931        4.5133        8.5300        8.0416       10.4241      0.000000      0.000000     0.0000000      1.000000 
          33.        0.5137       7.80001       181.957        4.5714        8.5285        8.0388       10.4241      0.000000      0.000000     0.0000000      1.000000 
          37.        0.5277       7.74992       181.984        4.6314        8.5269        8.0360       10.4241      0.000000      0.000000     0.0000000      1.000000 
          40.        0.5421       7.69989       182.011        4.6927        8.5253        8.0331       10.4241      0.000000      0.000000     0.0000000      1.000000 
          43.        0.5571       7.64996       182.039        4.7550        8.5236        8.0300       10.4241      0.000000      0.000000     0.0000000      1.000000 
          47.        0.5725       7.60012       182.068        4.8187        8.5218        8.0269       10.4241      0.000000      0.000000     0.0000000      1.000000 
          50.        0.5884       7.55037       182.097        4.8838        8.5200        8.0237       10.4241      0.000000      0.000000     0.0000000      1.000000 
          53.        0.6049       7.50077       182.127        4.9500        8.5181        8.0204       10.4241      0.000000      0.000000     0.0000000      1.000000 
          57.        0.6220       7.45128       182.157        5.0173        8.5162        8.0169       10.4241      0.000000      0.000000     0.0000000      1.000000 
          60.        0.6396       7.40192       182.188        5.0861        8.5142        8.0134       10.4241      0.000000      0.000000     0.0000000      1.000000 
          63.        0.6578       7.35274       182.219        5.1566        8.5121        8.0097       10.4241      0.000000      0.000000     0.0000000      1.000000 
          67.        0.6766       7.30371       182.252        5.2282        8.5099        8.0059       10.4241      0.000000      0.000000     0.0000000      1.000000 
          70.        0.6960       7.25483       182.284        5.3014        8.5077        8.0020       10.4241      0.000000      0.000000     0.0000000      1.000000 
