%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb       
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]      
%
           0.        0.3967       0.23924       178.267        3.3726        9.0583        8.7543       10.5923      0.000000      0.000000     0.0001471      0.061733 
           3.        0.4068       0.24617       178.279        3.3867        9.0580        8.7539       10.5923      0.000000      0.000000     0.0001583      0.065551 
           7.        0.4171       0.25350       178.277        3.4307        9.0576        8.7534       10.5923      0.000000      0.000000     0.0001712      0.067424 
          10.        0.4278       0.26108       178.275        3.4759        9.0572        8.7529       10.5923      0.000000      0.000000     0.0001852      0.069347 
          13.        0.4389       0.26901       178.274        3.5229        9.0568        8.7524       10.5923      0.000000      0.000000     0.0002005      0.071321 
          17.        0.4504       0.27721       178.273        3.5709        9.0564        8.7519       10.5923      0.000000      0.000000     0.0002170      0.073347 
          20.        0.4622       0.28567       178.273        3.6190        9.0560        8.7513       10.5923      0.000000      0.000000     0.0002349      0.075429 
          23.        0.4745       0.29453       178.273        3.6699        9.0555        8.7507       10.5923      0.000000      0.000000     0.0002546      0.077565 
          27.        0.4871       0.30369       178.274        3.7214        9.0550        8.7501       10.5923      0.000000      0.000000     0.0002759      0.079759 
          30.        0.5002       0.31315       178.275        3.7736        9.0546        8.7494       10.5923      0.000000      0.000000     0.0002990      0.082012 
          33.        0.5137       0.32305       178.278        3.8279        9.0540        8.7488       10.5923      0.000000      0.000000     0.0003243      0.084325 
          37.        0.5277       0.33328       178.281        3.8833        9.0535        8.7481       10.5923      0.000000      0.000000     0.0003517      0.086700 
          40.        0.5421       0.34385       178.285        3.9400        9.0529        8.7473       10.5923      0.000000      0.000000     0.0003814      0.089140 
          43.        0.5571       0.35492       178.290        3.9988        9.0523        8.7466       10.5923      0.000000      0.000000     0.0004141      0.091646 
          47.        0.5725       0.36636       178.296        4.0587        9.0517        8.7458       10.5923      0.000000      0.000000     0.0004495      0.094219 
          50.        0.5884       0.37819       178.302        4.1189        9.0510        8.7450       10.5923      0.000000      0.000000     0.0004879      0.096863 
          53.        0.6049       0.39057       178.311        4.1825        9.0504        8.7441       10.5923      0.000000      0.000000     0.0005302      0.099577 
          57.        0.6220       0.40337       178.320        4.2467        9.0497        8.7432       10.5923      0.000000      0.000000     0.0005760      0.102366 
          60.        0.6396       0.41660       178.331        4.3120        9.0490        8.7423       10.5923      0.000000      0.000000     0.0006256      0.105232 
          63.        0.6578       0.43046       178.343        4.3806        9.0482        8.7413       10.5923      0.000000      0.000000     0.0006803      0.108176 
          67.        0.6766       0.44478       178.357        4.4496        9.0474        8.7403       10.5923      0.000000      0.000000     0.0007396      0.111200 
          70.        0.6960       0.45959       178.372        4.5203        9.0466        8.7392       10.5923      0.000000      0.000000     0.0008040      0.114309 
          73.        0.7162       0.47510       178.389        4.5939        9.0457        8.7381       10.5923      0.000000      0.000000     0.0008748      0.117502 
          77.        0.7369       0.49113       178.408        4.6688        9.0449        8.7370       10.5923      0.000000      0.000000     0.0009518      0.120784 
          80.        0.7584       0.50771       178.429        4.7445        9.0440        8.7359       10.5923      0.000000      0.000000     0.0010352      0.124157 
          83.        0.7806       0.52508       178.453        4.8241        9.0430        8.7346       10.5923      0.000000      0.000000     0.0011272      0.127623 
          87.        0.8035       0.54304       178.479        4.9043        9.0421        8.7334       10.5923      0.000000      0.000000     0.0012271      0.131184 
          90.        0.8272       0.56160       178.507        4.9865        9.0410        8.7321       10.5923      0.000000      0.000000     0.0013355      0.134845 
          93.        0.8517       0.58106       178.538        5.0720        9.0400        8.7307       10.5923      0.000000      0.000000     0.0014549      0.138606 
          97.        0.8770       0.60117       178.572        5.1588        9.0389        8.7293       10.5923      0.000000      0.000000     0.0015846      0.142469 
         100.        0.9031       0.62197       178.608        5.2465        9.0378        8.7279       10.5923      0.000000      0.000000     0.0017254      0.146439 
         103.        0.9302       0.64376       178.649        5.3385        9.0366        8.7264       10.5923      0.000000      0.000000     0.0018805      0.150514 
         107.        0.9582       0.66629       178.693        5.4316        9.0354        8.7248       10.5923      0.000000      0.000000     0.0020489      0.154698 
         110.        0.9870       0.68959       178.739        5.5255        9.0341        8.7232       10.5923      0.000000      0.000000     0.0022316      0.158993 
         113.        1.0169       0.71399       178.791        5.6240        9.0328        8.7214       10.5923      0.000000      0.000000     0.0024328      0.163395 
         117.        1.0477       0.73923       178.846        5.7233        9.0314        8.7196       10.5923      0.000000      0.000000     0.0026511      0.167909 
         120.        1.0795       0.76530       178.905        5.8237        9.0299        8.7178       10.5923      0.000000      0.000000     0.0028878      0.172533 
         123.        1.1125       0.79262       178.970        5.9285        9.0283        8.7157       10.5923      0.000000      0.000000     0.0031483      0.177261 
         127.        1.1465       0.82085       179.038        6.0342        9.0267        8.7137       10.5923      0.000000      0.000000     0.0034305      0.182095 
         130.        1.1816       0.85001       179.111        6.1406        9.0250        8.7115       10.5923      0.000000      0.000000     0.0037361      0.187031 
         133.        1.2180       0.88054       179.191        6.2514        9.0232        8.7091       10.5923      0.000000      0.000000     0.0040717      0.192056 
         137.        1.2555       0.91208       179.274        6.3628        9.0213        8.7067       10.5923      0.000000      0.000000     0.0044347      0.197170 
         140.        1.2942       0.94463       179.363        6.4747        9.0192        8.7041       10.5923      0.000000      0.000000     0.0048270      0.202367 
         143.        1.3344       0.97868       179.459        6.5911        9.0170        8.7013       10.5923      0.000000      0.000000     0.0052567      0.207619 
         147.        1.3758       1.01381       179.559        6.7072        9.0147        8.6983       10.5923      0.000000      0.000000     0.0057202      0.212928 
         150.        1.4184       1.05005       179.664        6.8240        9.0122        8.6952       10.5923      0.000000      0.000000     0.0062197      0.218283 
         153.        1.4627       1.08790       179.778        6.9444        9.0095        8.6918       10.5923      0.000000      0.000000     0.0067647      0.223637 
         157.        1.5084       1.12689       179.896        7.0649        9.0066        8.6881       10.5923      0.000000      0.000000     0.0073506      0.228997 
         160.        1.5554       1.16706       180.018        7.1850        9.0035        8.6843       10.5923      0.000000      0.000000     0.0079797      0.234343 
         163.        1.6042       1.20893       180.150        7.3089        9.0002        8.6801       10.5923      0.000000      0.000000     0.0086629      0.239608 
         167.        1.6546       1.25201       180.286        7.4321        8.9966        8.6756       10.5923      0.000000      0.000000     0.0093944      0.244804 
         170.        1.7064       1.29629       180.426        7.5546        8.9929        8.6709       10.5923      0.000000      0.000000     0.0101764      0.249908 
         173.        1.7603       1.34235       180.574        7.6806        8.9887        8.6657       10.5923      0.000000      0.000000     0.0110213      0.254825 
         177.        1.8157       1.38964       180.727        7.8053        8.9843        8.6603       10.5923      0.000000      0.000000     0.0119218      0.259584 
         180.        1.8729       1.43816       180.883        7.9291        8.9797        8.6545       10.5923      0.000000      0.000000     0.0128802      0.264155 
         183.        1.9322       1.48849       181.047        8.0558        8.9746        8.6482       10.5923      0.000000      0.000000     0.0139101      0.268422 
         187.        1.9933       1.54005       181.214        8.1815        8.9693        8.6415       10.5923      0.000000      0.000000     0.0150031      0.272434 
         190.        2.0563       1.59284       181.384        8.3057        8.9637        8.6345       10.5923      0.000000      0.000000     0.0161618      0.276163 
         193.        2.1216       1.64746       181.560        8.4334        8.9576        8.6269       10.5923      0.000000      0.000000     0.0174009      0.279476 
         197.        2.1890       1.70330       181.738        8.5593        8.9512        8.6189       10.5923      0.000000      0.000000     0.0187114      0.282448 
         200.        2.2583       1.76036       181.916        8.6844        8.9446        8.6105       10.5923      0.000000      0.000000     0.0200960      0.285058 
         203.        2.3303       1.81924       182.099        8.8128        8.9374        8.6014       10.5923      0.000000      0.000000     0.0215715      0.287167 
         207.        2.4045       1.87934       182.282        8.9406        8.9299        8.5919       10.5923      0.000000      0.000000     0.0231276      0.288877 
         210.        2.4808       1.94064       182.463        9.0675        8.9220        8.5820       10.5923      0.000000      0.000000     0.0247674      0.290176 
         213.        2.5601       2.00378       182.647        9.1988        8.9135        8.5713       10.5923      0.000000      0.000000     0.0265093      0.290930 
         217.        2.6417       2.06812       182.829        9.3302        8.9046        8.5601       10.5923      0.000000      0.000000     0.0283410      0.291257 
         220.        2.7258       2.13365       183.007        9.4620        8.8954        8.5484       10.5923      0.000000      0.000000     0.0302651      0.291154 
         223.        2.8129       2.20102       183.185        9.5991        8.8854        8.5357       10.5923      0.000000      0.000000     0.0322985      0.290491 
         227.        2.9027       2.26958       183.359        9.7375        8.8749        8.5225       10.5923      0.000000      0.000000     0.0344256      0.289393 
         230.        2.9952       2.33930       183.528        9.8777        8.8640        8.5087       10.5923      0.000000      0.000000     0.0366453      0.287859 
         233.        3.0911       2.41080       183.694       10.0247        8.8521        8.4937       10.5923      0.000000      0.000000     0.0389676      0.285754 
         237.        3.1899       2.48340       183.856       10.1743        8.8397        8.4779       10.5923      0.000000      0.000000     0.0413720      0.283201 
         240.        3.2916       2.55706       184.012       10.3268        8.8266        8.4614       10.5923      0.000000      0.000000     0.0438504      0.280191 
         243.        3.3971       2.63232       184.165       10.4877        8.8123        8.4435       10.5923      0.000000      0.000000     0.0463975      0.276578 
         247.        3.5057       2.70848       184.312       10.6522        8.7972        8.4247       10.5923      0.000000      0.000000     0.0489888      0.272482 
         250.        3.6175       2.78544       184.455       10.8204        8.7814        8.4049       10.5923      0.000000      0.000000     0.0516068      0.267888 
         253.        3.7333       2.86362       184.596       10.9983        8.7641        8.3833       10.5923      0.000000      0.000000     0.0542226      0.262636 
         257.        3.8526       2.94233       184.732       11.1801        8.7458        8.3607       10.4241      0.000000      0.000000     0.0568126      0.256854 
         260.        3.9755       3.02141       184.865       11.3664        8.7266        8.3368       10.4241      0.000000      0.000000     0.0593497      0.250528 
         263.        4.1027       3.10109       184.998       11.5627        8.7057        8.3109       10.4241      0.000000      0.000000     0.0617757      0.243502 
         267.        4.2337       3.18074       185.128       11.7637        8.6838        8.2837       10.4241      0.000000      0.000000     0.0640762      0.235920 
         270.        4.3685       3.26015       185.257       11.9692        8.6606        8.2550       10.4241      0.000000      0.000000     0.0662177      0.227786 
         273.        4.5082       3.33933       185.387       12.1851        8.6356        8.2239       10.4241      0.000000      0.000000     0.0681130      0.218972 
         277.        4.6520       3.41776       185.517       12.4055        8.6094        8.1912       10.4241      0.000000      0.000000     0.0697663      0.209643 
         280.        4.7999       3.49520       185.648       12.6305        8.5819        8.1568       10.4241      0.000000      0.000000     0.0711425      0.199829 
         283.        4.9531       3.57142       185.781       12.8660        8.5522        8.1196       10.4241      0.000000      0.000000     0.0721311      0.189461 
         287.        5.1107       3.64608       185.916       13.1062        8.5213        8.0806       10.4241      0.000000      0.000000     0.0727643      0.178713 
         290.        5.2729       3.71892       186.053       13.3508        8.4890        8.0398       10.4241      0.000000      0.000000     0.0730129      0.167645 
         293.        5.4408       3.78949       186.194       13.6059        8.4545        7.9959       10.4241      0.000000      0.000000     0.0727565      0.156262 
         297.        5.6135       3.85765       186.337       13.8651        8.4187        7.9501       10.4241      0.000000      0.000000     0.0720616      0.144728 
         300.        5.7911       3.92317       186.482       14.1286        8.3817        7.9025       10.4241      0.000000      0.000000     0.0709138      0.133121 
         303.        5.9750       3.98538       186.632       14.4019        8.3428        7.8521       10.4241      0.000000      0.000000     0.0692054      0.121531 
         307.        6.1640       4.04439       186.785       14.6785        8.3029        7.8001       10.4241      0.000000      0.000000     0.0670382      0.110076 
         310.        6.3584       4.10002       186.941       14.9588        8.2622        7.7469       10.4241      0.000000      0.000000     0.0644232      0.098843 
         313.        6.5596       4.15145       187.101       15.2467        8.2203        7.6916       10.4241      0.000000      0.000000     0.0612941      0.087985 
         317.        6.7663       4.19908       187.263       15.5366        8.1781        7.6358       10.4241      0.000000      0.000000     0.0577811      0.077553 
         320.        6.9789       4.24278       187.428       15.8288        8.1358        7.5797       10.4241      0.000000      0.000000     0.0539284      0.067621 
         323.        7.1987       4.28173       187.596       16.1255        8.0934        7.5232       10.4241      0.000000      0.000000     0.0497376      0.058375 
         327.        7.4246       4.31657       187.767       16.4221        8.0517        7.4676       10.2585      0.000000      0.000000     0.0453469      0.049779 
         330.        7.6568       4.34731       187.938       16.7182        8.0109        7.4131       10.2585      0.000000      0.000000     0.0408268      0.041875 
         333.        7.8968       4.37324       188.112       17.0152        7.9714        7.3603       10.2585      0.000000      0.000000     0.0362544      0.034837 
         337.        8.1433       4.39525       188.286       17.3095        7.9335        7.3098       10.2585      0.000000      0.000000     0.0317349      0.028543 
         340.        8.3966       4.41351       188.461       17.6007        7.8974        7.2619       10.2585      0.000000      0.000000     0.0273437      0.022991 
         343.        8.6583       4.42756       188.635       17.8893        7.8636        7.2172       10.2585      0.000000      0.000000     0.0231993      0.018299 
         347.        8.9270       4.43839       188.808       18.1732        7.8320        7.1757       10.2585      0.000000      0.000000     0.0193298      0.014288 
         350.        9.2030       4.44629       188.980       18.4524        7.8026        7.1377       10.2585      0.000000      0.000000     0.0157849      0.010916 
         353.        9.4880       4.45113       189.151       18.7266        7.7758        7.1036       10.2585      0.000000      0.000000     0.0126795      0.008239 
         357.        9.7805       4.45383       189.321       18.9957        7.7511        7.0729       10.2585      0.000000      0.000000     0.0099656      0.006076 
         360.       10.0807       4.45475       189.489       19.2597        7.7284        7.0455       10.2585      0.000000      0.000000     0.0076441      0.004364 
         363.       10.3906       4.45400       189.655       19.5191        7.7080        7.0217       10.2585      0.000000      0.000000     0.0057737      0.003102 
         367.       10.7086       4.45223       189.820       19.7740        7.6891        7.0006       10.2585      0.000000      0.000000     0.0042502      0.002146 
         370.       11.0348       4.44975       189.984       20.0249        7.6716        6.9819       10.2585      0.000000      0.000000     0.0030384      0.001437 
         373.       11.3712       4.44678       190.148       20.2723        7.6556        6.9655       10.2585      0.000000      0.000000     0.0021446      0.000956 
         377.       11.7163       4.44365       190.311       20.5168        7.6406        6.9508       10.2585      0.000000      0.000000     0.0014685      0.000616 
         380.       12.0701       4.44053       190.473       20.7582        7.6265        6.9375       10.2585      0.000000      0.000000     0.0009704      0.000381 
         383.       12.4348       4.43764       190.636       20.9974        7.6133        6.9255       10.2585      0.000000      0.000000     0.0006359      0.000236 
         387.       12.8086       4.43506       190.799       21.2342        7.6007        6.9145       10.2585      0.000000      0.000000     0.0004020      0.000140 
         390.       13.1916       4.43286       190.962       21.4690        7.5887        6.9043       10.2585      0.000000      0.000000     0.0002433      0.000080 
         393.       13.5862       4.43119       191.125       21.7018        7.5773        6.8949       10.0955      0.000000      0.000000     0.0001469      0.000045 
         397.       13.9904       4.43001       191.288       21.9324        7.5664        6.8861       10.0955      0.000000      0.000000     0.0000850      0.000025 
         400.       14.4044       4.42934       191.451       22.1609        7.5559        6.8779       10.0955      0.000000      0.000000     0.0000466      0.000013 
         403.       14.8304       4.42929       191.615       22.3873        7.5460        6.8703       10.0955      0.000000      0.000000     0.0000257      0.000007 
         407.       15.2666       4.42976       191.778       22.6115        7.5365        6.8632       10.0955      0.000000      0.000000     0.0000135      0.000003 
         410.       15.7130       4.43075       191.942       22.8331        7.5275        6.8566       10.0955      0.000000      0.000000     0.0000066      0.000002 
         413.       16.1721       4.43234       192.105       23.0525        7.5190        6.8506       10.0955      0.000000      0.000000     0.0000033      0.000001 
         417.       16.6418       4.43444       192.268       23.2692        7.5109        6.8450       10.0955      0.000000      0.000000     0.0000015      0.000000 
         420.       17.1221       4.43703       192.430       23.4832        7.5034        6.8400       10.0955      0.000000      0.000000     0.0000007      0.000000 
         423.       17.6157       4.44019       192.592       23.6943        7.4964        6.8355       10.0955      0.000000      0.000000     0.0000003      0.000000 
         427.       18.1202       4.44380       192.754       23.9025        7.4899        6.8314       10.0955      0.000000      0.000000     0.0000001      0.000000 
         430.       18.6358       4.44786       192.914       24.1076        7.4838        6.8278       10.0955      0.000000      0.000000     0.0000000      0.000000 
         433.       19.1651       4.45244       193.073       24.3095        7.4783        6.8248       10.0955      0.000000      0.000000     0.0000000      0.000000 
         437.       19.7058       4.45743       193.232       24.5082        7.4733        6.8222       10.0955      0.000000      0.000000     0.0000000      0.000000 
         440.       20.2578       4.46281       193.389       24.7034        7.4688        6.8201        9.9352      0.000000      0.000000     0.0000000      0.000000 
